an vs ang​​,"饭 (fàn, 米饭)","放 (fàng, 放学)",,,,,,,,,,,,,,,,,
,"身 (shēn, 身体)","声 (shēng, 声音)",,,,,,,,,,,,,,,,,
,"本 (běn, 书本)","崩 (bēng, 崩开)",,,,,,,,,,,,,,,,,
,"针 (zhēn, 打针)","正 (zhèng, 正确)",,,,,,,,,,,,,,,,,
,"人 (rén, 大人)","仍 (réng, 仍然)",,,,,,,,,,,,,,,,,
,"跟 (gēn, 跟从)","更 (gèng, 更加)",,,,,,,,,,,,,,,,,
,"盆 (pén, 花盆)","朋 (péng, 朋友)",,,,,,,,,,,,,,,,,
,"深 (shēn, 深浅)","生 (shēng, 生日)",,,,,,,,,,,,,,,,,
,"什 (shén, 什么)","省 (shěng, 节省)",,,,,,,,,,,,,,,,,
,"怎 (zěn, 怎么)","增 (zēng, 增加)",,,,,,,,,,,,,,,,,
,"森 (sēn, 森林)","僧 (sēng, 僧人)",,,,,,,,,,,,,,,,,
,"陈 (chén, 姓陈)","成 (chéng, 成功)",,,,,,,,,,,,,,,,,
,"神 (shén, 神仙)","绳 (shéng, 绳子)",,,,,,,,,,,,,,,,,
,"跟 (gēn, 跟着)","耕 (gēng, 耕田)",,,,,,,,,,,,,,,,,
,"肯 (kěn, 肯定)","坑 (kēng, 水坑)",,,,,,,,,,,,,,,,,
,"恨 (hèn, 可恨)","横 (héng, 横线)",,,,,,,,,,,,,,,,,
,"珍 (zhēn, 珍贵)","争 (zhēng, 争吵)",,,,,,,,,,,,,,,,,
,"尘 (chén, 灰尘)","成 (chéng, 成为)",,,,,,,,,,,,,,,,,
,"身 (shēn, 身高)","生 (shēng, 生活)",,,,,,,,,,,,,,,,,
,"认 (rèn, 认识)","扔 (rēng, 扔球)",,,,,,,,,,,,,,,,,
,"根 (gēn, 树根)","更 (gēng, 更改)",,,,,,,,,,,,,,,,,
,"肯 (kěn, 肯干)","坑 (kēng, 土坑)",,,,,,,,,,,,,,,,,
,"痕 (hén, 痕迹)","横 (héng, 横竖)",,,,,,,,,,,,,,,,,
,"真 (zhēn, 真心)","蒸 (zhēng, 蒸发)",,,,,,,,,,,,,,,,,
,"晨 (chén, 早晨)","城 (chéng, 城市)",,,,,,,,,,,,,,,,,
,"深 (shēn, 深山)","声 (shēng, 声响)",,,,,,,,,,,,,,,,,
,"仁 (rén, 果仁)","仍 (réng, 仍旧)",,,,,,,,,,,,,,,,,
in vs ing​​,"心 (xīn, 心情)","星 (xīng, 星星)",,,,,,,,,,,,,,,,,
,"新 (xīn, 新旧)","行 (xíng, 行走)",,,,,,,,,,,,,,,,,
,"金 (jīn, 金色)","睛 (jīng, 眼睛)",,,,,,,,,,,,,,,,,
,"音 (yīn, 声音)","英 (yīng, 英雄)",,,,,,,,,,,,,,,,,
,"林 (lín, 树林)","零 (líng, 零钱)",,,,,,,,,,,,,,,,,
,"亲 (qīn, 亲人)","清 (qīng, 清水)",,,,,,,,,,,,,,,,,
,"进 (jìn, 前进)","静 (jìng, 安静)",,,,,,,,,,,,,,,,,
,"民 (mín, 人民)","名 (míng, 名字)",,,,,,,,,,,,,,,,,
,"您 (nín, 您好)","宁 (níng, 安宁)",,,,,,,,,,,,,,,,,
,"信 (xìn, 信件)","幸 (xìng, 幸福)",,,,,,,,,,,,,,,,,
,"今 (jīn, 今天)","京 (jīng, 北京)",,,,,,,,,,,,,,,,,
,"因 (yīn, 因为)","应 (yīng, 应该)",,,,,,,,,,,,,,,,,
,"宾 (bīn, 宾客)","冰 (bīng, 冰块)",,,,,,,,,,,,,,,,,
,"贫 (pín, 贫穷)","平 (píng, 平安)",,,,,,,,,,,,,,,,,
,"敏 (mǐn, 敏捷)","明 (míng, 明亮)",,,,,,,,,,,,,,,,,
,"今 (jīn, 今年)","经 (jīng, 经过)",,,,,,,,,,,,,,,,,
,"引 (yǐn, 引导)","影 (yǐng, 电影)",,,,,,,,,,,,,,,,,
,"拼 (pīn, 拼图)","乒 (pīng, 乒乓球)",,,,,,,,,,,,,,,,,
,"民 (mín, 农民)","名 (míng, 名气)",,,,,,,,,,,,,,,,,
,"近 (jìn, 近处)","镜 (jìng, 镜子)",,,,,,,,,,,,,,,,,
,"阴 (yīn, 阴天)","英 (yīng, 英国)",,,,,,,,,,,,,,,,,
,"彬 (bīn, 彬彬有礼)","兵 (bīng, 士兵)",,,,,,,,,,,,,,,,,
,"品 (pǐn, 用品)","平 (píng, 平地)",,,,,,,,,,,,,,,,,
,"您 (nín, 您早)","凝 (níng, 凝聚)",,,,,,,,,,,,,,,,,
,"进 (jìn, 进入)","惊 (jīng, 惊讶)",,,,,,,,,,,,,,,,,
,"印 (yìn, 印章)","硬 (yìng, 坚硬)",,,,,,,,,,,,,,,,,
,"频 (pín, 频率)","瓶 (píng, 瓶子)",,,,,,,,,,,,,,,,,
,"林 (lín, 丛林)","灵 (líng, 灵活)",,,,,,,,,,,,,,,,,
,"亲 (qīn, 亲切)","轻 (qīng, 轻重)",,,,,,,,,,,,,,,,,
ian vs iang​​,"烟 (yān, 烟雾)","羊 (yáng, 小羊)",,,,,,,,,,,,,,,,,
,"脸 (liǎn, 脸蛋)","两 (liǎng, 两个)",,,,,,,,,,,,,,,,,
,"尖 (jiān, 笔尖)","江 (jiāng, 江河)",,,,,,,,,,,,,,,,,
,"钱 (qián, 钱包)","墙 (qiáng, 墙面)",,,,,,,,,,,,,,,,,
,"先 (xiān, 先后)","香 (xiāng, 香味)",,,,,,,,,,,,,,,,,
​​uan vs uang​​,"玩 (wán, 好玩)","王 (wáng, 王子)",,,,,,,,,,,,,,,,,
,"关 (guān, 关门)","光 (guāng, 阳光)",,,,,,,,,,,,,,,,,
,"欢 (huān, 欢乐)","慌 (huāng, 慌张)",,,,,,,,,,,,,,,,,
,"船 (chuán, 小船)","床 (chuáng, 木床)",,,,,,,,,,,,,,,,,
,"环 (huán, 耳环)","黄 (huáng, 黄色)",,,,,,,,,,,,,,,,,
